musteri_id,tarih,yas,cinsiyet,sehir,egitim,segment,gelir,harcama,siparis_sayisi,memnuniyet,indirim_orani,uyelik_suresi
MUS_0001,2022-08-12,56,Kadın,Izmir,Yukseklisans,Standart,45178.28230575841,13674.703840045255,6,,32.36272556870378,4
MUS_0002,2022-10-04,69,Kadın,Istanbul,Lise,Standart,32208.990195335402,9154.867295269254,3,4.0,18.673428599152448,62
MUS_0003,2023-06-06,46,Erkek,Adana,Lise,Standart,29817.070688626125,4568.798969630631,6,8.0,37.14390378591754,29
MUS_0004,2022-09-25,32,Kadın,Izmir,Yukseklisans,Standart,33660.26427889076,7710.426987398487,5,6.0,24.502126008478864,3
MUS_0005,2022-06-16,60,Kadın,Bursa,Lisans,Premium,20540.506604681024,9445.490697281015,2,9.0,,12
MUS_0006,2022-03-16,25,Kadın,Istanbul,Ortaokul,Premium,52007.187204676266,23998.674126869202,5,9.0,20.34940443950625,1
MUS_0007,2023-06-17,38,Erkek,Ankara,Ilkokul,Premium,24322.26533341826,2418.3433427754326,1,8.0,21.555324367276867,13
MUS_0008,2022-05-12,56,Erkek,Ankara,Lisans,Standart,21376.018900053416,7543.894810903536,3,8.0,48.39438249672093,36
MUS_0009,2022-02-20,36,Erkek,Bursa,Yukseklisans,Standart,36055.790960445294,14007.025169907769,6,8.0,34.07035300192188,19
MUS_0010,2022-11-08,40,Kadın,Istanbul,Yukseklisans,Standart,34027.989487366875,12106.469586553992,6,8.0,15.760492358055,25
MUS_0011,2022-01-29,28,Kadın,Istanbul,Lisans,Standart,41143.33554785804,5859.146212157757,12,6.0,36.692993510278264,9
MUS_0012,2023-12-06,28,Kadın,Adana,Ortaokul,Standart,27334.29214125904,5073.127736639184,3,,16.5133694161458,4
MUS_0013,2023-04-03,41,Erkek,Ankara,Lise,Standart,29843.690438540998,6043.19109465377,4,9.0,6.28574538923381,1
MUS_0014,2022-04-22,70,Kadın,Ankara,Yukseklisans,Standart,51331.49357022051,22406.61721954782,3,,23.768017872782455,41
MUS_0015,2022-05-06,53,Erkek,Istanbul,Lise,Standart,49791.94984501834,14358.136232680154,4,,37.5511929569207,24
