need,treatment,outcome
-0.5064733341147655,0,-0.34797508368255037
0.8275241487147456,1,5.5881736446328105
-0.25191772205116547,0,0.8803785165258976
0.31224583872439793,1,3.8073716564498503
0.12184295317476321,0,-0.30696031636067134
0.001737125890682154,1,2.55629776263888
0.10739657438636435,0,0.16265658902367064
1.0299007149287607,1,4.49111670628899
-0.9705856489390586,0,-3.03983168350077
-0.14845619093090515,1,1.4890218942709115
-1.2152777457995123,0,-2.694234102863813
0.22655692813164433,1,3.9202134194572587
-0.19552886074044024,1,0.7422628213565354
1.0692431325678957,1,5.019025688177449
-0.004823220549396244,0,1.8131307945467703
-0.4438391334030063,0,-0.47981782569801124
-0.24671004807272248,0,-0.16243861713661145
1.7234242136071747,1,6.644307276784926
-1.5700806109387178,0,-3.637918973307561
-0.6275161006155908,1,1.4166998300729656
0.0360080440000675,0,-0.7067262479643228
-0.6364264465800669,1,0.9151443984764399
0.49068167276395847,0,0.7554507631713477
-0.05648543811091493,0,-1.6298868562833466
0.25598490263034507,0,-0.6836050092209864
0.11782813527828451,1,3.0951015551220555
-0.10304539289731686,0,-1.105611573626376
-1.2908237352234886,0,-3.5279774745214465
0.17609242919363946,0,-1.1654217686390909
-1.7634088358940716,0,-3.607196082657614
-0.6719609816298433,0,0.4005769874457563
0.4892052860226557,1,5.250408814557691
1.1896875357084293,1,7.104753534431404
2.349416125281837,1,9.499662811205269
-0.4282539784040572,0,-0.8050491048640338
-0.8651246302201088,0,-2.0762886748899674
0.5222835508601883,1,3.3911822642015976
1.8699688148286506,1,8.364977798099194
1.532744792760907,1,7.462570431049215
-1.0350792052418814,0,-3.0507075993864623
-0.14050918746230084,1,3.174731114255212
0.8503672831454239,1,4.431972907579943
0.9197111524363613,1,4.669022512462448
0.5918619238457106,1,5.254760158699273
-0.4487485840091213,0,-0.6913440264709179
0.5829652179073281,1,4.2254687080316815
0.9293508048769927,0,1.9757108573965858
-0.932020075650535,0,-2.1552774398202104
1.3302358991105523,1,4.490189199044835
0.9919595139646692,1,4.722129367064108
-0.7419614995316888,0,-3.1200128618450504
0.9249098283594475,0,2.324127638558802
0.8131136554844498,1,6.121402599373351
0.8511526527737022,1,5.60504035141222
1.5759730544406805,1,6.42843466799505
-0.01046177906983961,0,-0.7327512914562468
